band,min,max,mean,std
0,0.0,0.36200000000000004,0.001766352420856611,0.01602131851431873
1,0.0,0.35150000000000003,0.003748603351955307,0.020737597826139903
2,0.0,0.3418,0.0053816108007448795,0.022622278724857375
3,0.0,0.37510000000000004,0.007389187616387337,0.027125140899173145
4,0.0,0.3492,0.009064699720670392,0.028584787880339822
5,0.0,0.3821,0.01084501862197393,0.03091197135185859
6,0.0,0.41950000000000004,0.012632937616387337,0.032823166345011714
7,0.0,0.38420000000000004,0.01470108240223464,0.035145529282926
8,0.0,0.32130000000000003,0.016643575418994413,0.03607151720555439
9,0.0,0.39830000000000004,0.018971042830540037,0.039699026226888194
10,0.0,0.3874,0.024270821694599626,0.04853996783138159
11,0.0,0.4001,0.03207941108007449,0.06269263856795473
